Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 05:32:53 GMT] Created buffer file (./src/temp/C7cczTyQ4iY-temp_audio.pcm) for song (C7cczTyQ4iY).

[Tue, 26 Nov 2024 05:32:53 GMT] Audio is now buffering!

[Tue, 26 Nov 2024 05:32:53 GMT] Audio is now playing!

[Tue, 26 Nov 2024 05:33:33 GMT] Cleared temp folder (./src/temp).

[Tue, 26 Nov 2024 05:34:34 GMT] Created new queue for bot (1310116919403216997).

